CountryCode,Population,GDP_Per_Capita,Hospital_Beds_Per_Thousand,Life_Expectancy,StringencyIndex_Average,GovernmentResponseIndex_Average,ContainmentHealthIndex_Average,EconomicSupportIndex,Mortality Rate,H5,V1,V3,ConfirmedCases,ConfirmedDeaths,StringencyIndex_Average_Category,GovernmentResponseIndex_Average_Category,ContainmentHealthIndex_Average_Category,EconomicSupportIndex_Category,Combined_Category
BOL,12224114.0,6885.829,1.1,71.51,42.292919708029196,44.35209854014599,46.89130474452555,26.57390510948905,1.1102863097773519,130000000.0,2,5,525091338.0,14875204.0,2,1,2,1,SI2.0_GI1.0_CI2.0_EI1.0
BRA,215313504.0,14103.452,2.2,75.88,48.54258211678832,44.37468065693431,48.47821167883212,15.659215328467154,1.8678504196170642,148930783.0,2,5,18679206632.0,440782067.0,3,1,2,1,SI3.0_GI1.0_CI2.0_EI1.0
BRB,281646.0,16978.068,5.8,79.19,47.84323905109489,51.19204379562044,53.855328467153285,32.550182481751825,0.6324007395316511,0.0,2,5,32426403.0,195212.0,3,3,3,2,SI3.0_GI3.0_CI3.0_EI2.0
BRN,449002.0,71809.251,2.7,75.86,39.496021897810216,44.540748175182486,48.22480839416058,18.76140510948905,0.16860588496720239,0.0,2,5,61555415.0,82972.0,1,1,2,1,SI1.0_GI1.0_CI2.0_EI1.0
BTN,782457.0,8708.597,1.7,71.78,50.683649635036495,55.18635948905109,55.48688868613139,53.090784671532845,0.007913030159377523,0.0,2,5,18073562.0,6786.0,3,4,4,4,SI3.0_GI4.0_CI4.0_EI4.0
BWA,2630300.0,15807.374,1.8,69.59,36.4909306569343,37.96838503649635,41.441952554744525,13.65191605839416,0.5136497432642775,0.0,0,5,148779100.0,1480754.0,1,0,0,0,SI1.0_GI0.0_CI0.0_EI0.0
CAF,5579148.0,661.24,1.0,53.28,23.903476277372263,25.38940693430657,27.63684306569343,9.660127737226277,0.01389657021068633,15740000.0,0,5,9298115.0,84974.0,0,0,0,0,SI0.0_GI0.0_CI0.0_EI0.0
CAN,38454328.0,44017.591,2.5,82.43,50.31122262773722,51.41530109489051,52.75821167883212,42.01642335766423,0.6363593689066733,9163701457.45,2,5,1951078477.0,26819966.0,3,3,3,3,SI3.0_GI3.0_CI3.0_EI3.0
CHE,8740471.0,57410.166,4.53,83.78,36.35805656934306,42.03099452554745,43.60266423357664,31.033302919708028,0.9989628730417172,400160460.0,2,5,1613248657.0,9569621.0,0,1,1,2,SI0.0_GI1.0_CI1.0_EI2.0
CHL,19603736.0,22767.037,2.11,80.18,51.386925182481754,54.94792883211679,57.347034671532846,38.15009124087591,1.5755505484923522,3435342491.0,2,5,2004590730.0,33851798.0,3,4,4,2,SI3.0_GI4.0_CI4.0_EI2.0
CHN,1425887360.0,15308.711999999998,4.34,76.91,73.31321167883212,71.92275547445256,74.88011861313869,51.22034671532847,0.0032728147235875638,0.0,2,5,359689491.0,5114665.0,4,4,4,4,SI4.0_GI4.0_CI4.0_EI4.0
CMR,27914542.0,3364.926,1.3,59.29,31.54181569343066,31.57823905109489,35.34014598540146,5.2463503649635035,0.04005460091073887,0.0,2,5,74929290.0,1225444.0,0,0,0,0,SI0.0_GI0.0_CI0.0_EI0.0
COL,51874028.0,13254.949,1.71,77.29,50.66514598540146,53.771104014598535,54.61017335766423,47.89005474452555,1.600663005989064,0.0,2,5,3782923187.0,91003990.0,3,4,4,3,SI3.0_GI4.0_CI4.0_EI3.0
CPV,593162.0,6222.554,2.1,72.98,48.15736313868613,49.215346715328465,50.50548357664234,40.18020072992701,0.39081499799281827,40026836.76,2,5,33237520.0,254071.0,3,3,3,3,SI3.0_GI3.0_CI3.0_EI3.0
CRI,5180836.0,15524.994999999999,1.13,80.28,43.3070802919708,44.16326642335767,46.40586678832117,28.467153284671532,0.880940139170843,40000000.0,2,5,496457526.0,5002151.0,2,1,1,2,SI2.0_GI1.0_CI1.0_EI2.0
CYP,896007.0,32415.131999999998,3.4,80.98,45.09606751824818,58.979863138686135,53.99287408759124,93.88686131386861,0.5450102836217577,0.0,2,5,210102922.0,535213.0,2,4,4,4,SI2.0_GI4.0_CI4.0_EI4.0
CZE,10493990.0,32605.905999999995,6.63,79.38,39.48719890510949,48.051669708029195,47.80653284671533,49.76049270072993,2.2066945089035777,0.0,2,5,2126722883.0,25380105.0,1,2,2,3,SI1.0_GI2.0_CI2.0_EI3.0
DEU,83369840.0,45229.245,8.0,81.33,44.04211678832117,53.45463503649635,53.07085766423357,56.13594890510949,0.9278902762511376,2361521162.0,2,5,11113134190.0,84784438.0,2,4,3,4,SI2.0_GI4.0_CI3.0_EI4.0
DJI,1120851.0,2705.406,1.4,67.11,39.840583941605836,37.50173357664234,41.97125,6.215784671532846,0.10669845117096802,0.0,2,5,10763015.0,131074.0,1,0,1,0,SI1.0_GI0.0_CI1.0_EI0.0
DMA,72758.0,9673.367,3.8000000000000003,75.0,39.841094890510945,45.10059306569343,49.526423357664235,14.119525547445255,0.3434041818061796,0.0,2,5,5555388.0,27384.0,1,2,2,0,SI1.0_GI2.0_CI2.0_EI0.0
